model,accuracy,f1_score,precision,recall,cv_mean,cv_std
Random Forest,0.9955,0.9955,0.9957,0.9955,0.9945,0.0023
XGBoost,0.9955,0.9955,0.9957,0.9955,0.9903,0.0064
